SlowFast_0_name,SlowFast_1_name,SlowFast_0_accuracy,SlowFast_1_accuracy,Number_Of_Winning_Fusions,CosineSimilarityCombiner_accuracy,MacroMajorityVoteCombiner_accuracy,MicroMajorityVoteCombiner_accuracy,SimpleAverageCombiner_accuracy
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,0.117,0.545,0,0.117,0.299,0.078,0.078
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,0.117,0.195,0,0.117,0.091,0.091,0.091
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_8__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,0.117,0.442,0,0.117,0.286,0.026,0.026
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,0.117,0.13,0,0.117,0.117,0.026,0.026
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,0.468,0.221,0,0.468,0.338,0.182,0.182
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_sgd,0.468,0.364,0,0.468,0.442,0.26,0.26
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_sgd,0.468,0.39,0,0.468,0.312,0.208,0.208
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_sgd,0.468,0.532,0,0.468,0.442,0.286,0.286
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_sgd,0.468,0.766,0,0.468,0.597,0.429,0.429
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_sgd,0.468,0.065,0,0.468,0.182,0.065,0.065
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,0.468,0.117,0,0.468,0.403,0.104,0.104
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,0.468,0.896,0,0.468,0.675,0.468,0.468
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_8__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_sgd,0.468,0.701,0,0.468,0.558,0.416,0.416
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,0.468,0.117,0,0.468,0.286,0.052,0.052
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,0.468,0.468,0,0.468,0.468,0.468,0.468
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,0.468,0.857,0,0.468,0.662,0.455,0.455
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,0.468,0.831,0,0.468,0.636,0.442,0.442
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_sgd,0.468,0.065,0,0.468,0.221,0.065,0.065
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,0.468,0.208,0,0.468,0.39,0.182,0.182
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_sgd,0.468,0.442,0,0.468,0.364,0.208,0.208
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_sgd,0.468,0.364,0,0.468,0.403,0.286,0.286
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_sgd,0.468,0.753,0,0.468,0.61,0.416,0.416
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_sgd,0.468,0.351,0,0.468,0.429,0.195,0.195
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,0.468,0.351,0,0.468,0.338,0.182,0.182
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_sgd,0.468,0.065,0,0.468,0.182,0.065,0.065
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_sgd,0.468,0.39,0,0.468,0.286,0.156,0.156
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,0.468,0.545,0,0.468,0.416,0.299,0.299
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,0.468,0.195,0,0.468,0.338,0.104,0.104
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_8__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,0.468,0.442,0,0.468,0.403,0.325,0.325
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,0.468,0.13,0,0.468,0.468,0.104,0.104
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,0.857,0.221,0,0.857,0.545,0.221,0.221
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_sgd,0.857,0.364,0,0.857,0.688,0.364,0.364
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_sgd,0.857,0.39,0,0.857,0.532,0.39,0.39
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_sgd,0.857,0.532,0,0.857,0.636,0.532,0.532
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_sgd,0.857,0.766,0,0.857,0.766,0.766,0.766
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_sgd,0.857,0.065,0,0.857,0.481,0.065,0.065
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,0.857,0.117,0,0.857,0.753,0.117,0.117
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,0.857,0.896,0,0.857,0.883,0.857,0.857
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_8__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_sgd,0.857,0.701,0,0.857,0.74,0.701,0.701
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,0.857,0.117,0,0.857,0.494,0.117,0.117
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,0.857,0.468,0,0.857,0.662,0.455,0.455
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,0.857,0.857,0,0.857,0.857,0.857,0.857
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,0.857,0.831,0,0.857,0.831,0.792,0.792
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_sgd,0.857,0.065,0,0.857,0.519,0.065,0.065
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,0.857,0.208,0,0.857,0.779,0.208,0.208
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_sgd,0.857,0.442,0,0.857,0.545,0.442,0.442
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_sgd,0.857,0.364,0,0.857,0.779,0.364,0.364
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_sgd,0.857,0.753,0,0.857,0.766,0.753,0.753
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_sgd,0.857,0.351,0,0.857,0.766,0.351,0.351
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,0.857,0.351,0,0.857,0.506,0.338,0.338
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_sgd,0.857,0.065,0,0.857,0.481,0.065,0.065
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_sgd,0.857,0.39,0,0.857,0.442,0.39,0.39
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,0.857,0.545,0,0.857,0.688,0.532,0.532
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,0.857,0.195,0,0.857,0.571,0.195,0.195
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_8__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,0.857,0.442,0,0.857,0.701,0.442,0.442
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_16__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,0.857,0.13,0,0.857,0.857,0.13,0.13
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,0.831,0.221,0,0.831,0.532,0.182,0.182
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_sgd,0.831,0.364,0,0.831,0.675,0.325,0.325
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_sgd,0.831,0.39,0,0.831,0.545,0.377,0.377
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_sgd,0.831,0.532,0,0.831,0.636,0.506,0.506
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_sgd,0.831,0.766,0,0.831,0.74,0.714,0.714
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_sgd,0.831,0.065,0,0.831,0.494,0.065,0.065
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_adam,0.831,0.117,0,0.831,0.753,0.104,0.104
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,0.831,0.896,0,0.831,0.844,0.831,0.831
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_8__SLOWFAST-BETA_INV_8__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-1__SOLVER-OPTIMIZING_METHOD_sgd,0.831,0.701,0,0.831,0.714,0.649,0.649
SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_16__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,SLOWFAST-ALPHA_4__SLOWFAST-BETA_INV_32__TRAIN-BATCH_SIZE_8__SOLVER-BASE_LR_0-001__SOLVER-OPTIMIZING_METHOD_adam,0.831,0.117,0,0.831,0.506,0.104,0.104
